問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4
1,yesterday,昨日（は）,例，実例,目覚まし時計,理由，わけ
2,alarm clock,目覚まし時計,昨日（は）,～を止める，止まる，やめる,例，実例
3,stop,～を止める，止まる，やめる,目覚まし時計,1時間，時間,昨日（は）
4,hour,1時間，時間,～を止める，止まる，やめる,（今から）～前に,目覚まし時計
5,ago,（今から）～前に,1時間，時間,図書館，図書室,～を止める，止まる，やめる
6,library,図書館，図書室,（今から）～前に,先週,1時間，時間
7,last week,先週,図書館，図書室,走る,（今から）～前に
8,run,走る,先週,～を訪問する，～を訪ねる,図書館，図書室
9,visit,～を訪問する，～を訪ねる,走る,～をそうじする，～をきれいにする,先週
10,clean,～をそうじする，～をきれいにする,～を訪問する，～を訪ねる,昨夜,走る
11,last night,昨夜,～をそうじする，～をきれいにする,～を買う,～を訪問する，～を訪ねる
12,buy,～を買う,昨夜,店,～をそうじする，～をきれいにする
13,store,店,～を買う,～に答える,昨夜
14,answer,～に答える,店,質問,～を買う
15,question,質問,～に答える,～を楽しむ,店
16,enjoy,～を楽しむ,質問,入浴する，風呂に入る,～に答える
17,take a bath,入浴する，風呂に入る,～を楽しむ,写真をとる,質問
18,take a picture,写真をとる,入浴する，風呂に入る,起きる,～を楽しむ
19,get up,起きる,写真をとる,～を洗う,入浴する，風呂に入る
20,wash,～を洗う,起きる,話す,写真をとる
21,talk,話す,～を洗う,庭，庭園,起きる
22,garden,庭，庭園,話す,美しい,～を洗う
23,beautiful,美しい,庭，庭園,～を与える,話す
24,give,～を与える,美しい,辞書,庭，庭園
25,dictionary,辞書,～を与える,～を置く,美しい
26,put,～を置く,辞書,～に手紙を書く,～を与える
27,write to ～,～に手紙を書く,～を置く,～を待つ,辞書
28,wait for ～,～を待つ,～に手紙を書く,長い間,～を置く
29,for a long time,長い間,～を待つ,動物園,～に手紙を書く
30,zoo,動物園,長い間,（～を）練習する,～を待つ
31,practice,（～を）練習する,動物園,新聞,長い間
32,newspaper,新聞,（～を）練習する,～のあとに,動物園
33,after,～のあとに,新聞,childの複数形,（～を）練習する
34,children,childの複数形,～のあとに,魚[複数形も同じ形],新聞
35,fish,魚[複数形も同じ形],childの複数形,スマートフォン,～のあとに
36,smartphone,スマートフォン,魚[複数形も同じ形],語，単語，ことば,childの複数形
37,word,語，単語，ことば,スマートフォン,人形,魚[複数形も同じ形]
38,doll,人形,語，単語，ことば,放課後,スマートフォン
39,after school,放課後,人形,雨が降る,語，単語，ことば
40,rain,雨が降る,放課後,博物館，美術館,人形
41,museum,博物館，美術館,雨が降る,teachの過去形,放課後
42,taught,teachの過去形,博物館，美術館,（～を）出発する，去る,雨が降る
43,leave,（～を）出発する，去る,teachの過去形,修学旅行,博物館，美術館
44,school trip,修学旅行,（～を）出発する，去る,いとこ,teachの過去形
45,cousin,いとこ,修学旅行,到着する,（～を）出発する，去る
46,arrive,到着する,いとこ,チーム,修学旅行
47,team,チーム,到着する,～はどうですか。,いとこ
48,How about ～？,～はどうですか。,チーム,あまりにも～，～すぎる,到着する
49,too,あまりにも～，～すぎる,～はどうですか。,(～しようと)努める，（～を）試してみる,チーム
50,try,(～しようと)努める，（～を）試してみる,あまりにも～，～すぎる,ある日,～はどうですか。
